2048 , 8 , 2.5 : 9.26s,30.49s,VF48Events:565,Verticies:517,PassedCuts:362
2048 , 8 , 3 : 10.49s,30.06s,VF48Events:565,Verticies:518,PassedCuts:363
2048 , 8 , 3.5 : 8.79s,29.55s,VF48Events:565,Verticies:518,PassedCuts:362
2048 , 8 , 4 : 10.78s,29.57s,VF48Events:565,Verticies:517,PassedCuts:365
2048 , 4 , 2 : 12.89s,30.65s,VF48Events:565,Verticies:519,PassedCuts:359
2048 , 4 , 2.5 : 13.80s,29.73s,VF48Events:565,Verticies:518,PassedCuts:365
2048 , 4 , 3 : 13.38s,29.54s,VF48Events:565,Verticies:517,PassedCuts:367
2048 , 4 , 3.5 : 13.55s,29.58s,VF48Events:565,Verticies:518,PassedCuts:365
2048 , 4 , 4 : 13.07s,29.52s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 1 , 2 : 14.57s,30.57s,VF48Events:565,Verticies:519,PassedCuts:361
2048 , 1 , 2.5 : 14.66s,29.85s,VF48Events:565,Verticies:518,PassedCuts:366
2048 , 1 , 3 : 13.99s,29.56s,VF48Events:565,Verticies:517,PassedCuts:365
2048 , 1 , 3.5 : 14.62s,29.58s,VF48Events:565,Verticies:518,PassedCuts:366
2048 , 1 , 4 : 14.40s,29.23s,VF48Events:565,Verticies:516,PassedCuts:364
2048 , 0.25 , 2 : 22.01s,30.62s,VF48Events:565,Verticies:519,PassedCuts:364
2048 , 0.25 , 2.5 : 21.52s,29.81s,VF48Events:565,Verticies:518,PassedCuts:367
2048 , 0.25 , 3 : 21.14s,29.71s,VF48Events:565,Verticies:518,PassedCuts:366
2048 , 0.25 , 3.5 : 20.96s,29.52s,VF48Events:565,Verticies:518,PassedCuts:366
2048 , 0.25 , 4 : 20.61s,29.33s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 0.1 , 2 : ,29.61s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 0.1 , 2.5 : ,29.66s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 0.1 , 3 : ,29.49s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 0.1 , 3.5 : ,29.68s,VF48Events:565,Verticies:516,PassedCuts:365
2048 , 0.1 , 4 : ,29.62s,VF48Events:565,Verticies:516,PassedCuts:365
