  Psi0s, Psi_finals, np.log10(F_esc)
  26.42400,  26.42400, -11.84882
  26.41600,  26.41600, -11.84528
  26.40800,  26.40800, -11.84175
  26.40000,  26.40000, -11.83821
  26.39200,  26.39200, -11.83467
  26.38400,  26.38400, -11.83114
  26.37600,  26.37600, -11.82760
  26.36800,  26.36800, -11.82407
  26.36000,  26.36000, -11.82053
  26.35200,  26.35200, -11.81699
  26.34400,  26.34400, -11.81346
  26.33600,  26.33600, -11.80992
  26.32800,  26.32800, -11.80638
  26.32000,  26.32000, -11.80285
  26.31200,  26.31200, -11.79931
  26.30400,  26.30400, -11.79578
  26.29600,  26.29600, -11.79224
  26.28800,  26.28800, -11.78870
  26.28000,  26.28000, -11.78517
  26.27200,  26.27200, -11.78163
  26.26400,  26.26400, -11.77809
  26.25600,  26.25600, -11.77456
  26.24800,  26.24800, -11.77102
  26.24000,  26.24000, -11.76749
  26.23200,  26.23200, -11.76395
  26.22400,  26.22400, -11.76041
  26.21600,  26.21600, -11.75688
  26.20800,  26.20800, -11.75334
  26.20000,  26.20000, -11.74980
  26.19200,  26.19200, -11.74627
  26.18400,  26.18400, -11.74273
  26.17600,  26.17600, -11.73919
  26.16800,  26.16800, -11.73566
  26.16000,  26.16000, -11.73212
  26.15200,  26.15200, -11.72858
  26.14400,  26.14400, -11.72505
  26.13600,  26.13600, -11.72151
  26.12800,  26.12800, -11.71797
  26.12000,  26.12000, -11.71444
  26.11200,  26.11200, -11.71090
  26.10400,  26.10400, -11.70736
  26.09600,  26.09600, -11.70383
  26.08800,  26.08800, -11.70029
  26.08000,  26.08000, -11.69675
  26.07200,  26.07200, -11.69322
  26.06400,  26.06400, -11.68968
  26.05600,  26.05600, -11.68614
  26.04800,  26.04800, -11.68261
  26.04000,  26.04000, -11.67907
  26.03200,  26.03200, -11.67553
  26.02400,  26.02400, -11.67200
  26.01600,  26.01600, -11.66846
  26.00800,  26.00800, -11.66492
  26.00000,  26.00000, -11.66139
  25.99200,  25.99200, -11.65785
  25.98400,  25.98400, -11.65431
  25.97600,  25.97600, -11.65078
  25.96800,  25.96800, -11.64724
  25.96000,  25.96000, -11.64370
  25.95200,  25.95200, -11.64016
  25.94400,  25.94400, -11.63663
  25.93600,  25.93600, -11.63309
  25.92800,  25.92800, -11.62955
  25.92000,  25.92000, -11.62602
  25.91200,  25.91200, -11.62248
  25.90400,  25.90400, -11.61894
  25.89600,  25.89600, -11.61541
  25.88800,  25.88800, -11.61187
  25.88000,  25.88000, -11.60833
  25.87200,  25.87200, -11.60479
  25.86400,  25.86400, -11.60126
